motion_id,title_motion,text_motion,lis_id,proposal_date,classification,acceptance_number,categories,status,billenforce_id,billmerge__id,billreject_id,created_at,updated_at,organizations_bill,propser ID,proposer,voters_id,voter_party,Table - data_cleansing.parliament,Table - data_cleansing.party_side,Table - data_cleansing.creators_type
e67a0ebc-eae1-40f4-b6d5-d75c3692fcab,ร่างพระราชบัญญัติการรายงานการปล่อยและการเคลื่อนย้ายสารมลพิษสู่สิ่งแวดล้อม พ.ศ. ....,ให้มีกฎหมายว่าด้วยการรายงานการปล่อยและการเคลื่อนย้ายสารมลพิษสู่สิ่งแวดล้อม เนื่องจากปัจจุบันมีการใช้สารเคมีในการผลิตทางอุตสาหกรรม เกษตรกรรม และการบริการต่าง ๆ เพิ่มมากขึ้น และมีการปล่อยสารมลพิษสู่สิ่งแวดล้อมตลอดเวลา พื้นที่หลายแห่งจึงกลายเป็นแหล่งกำเนิดและแหล่งรองรับสารมลพิษ ทั้งในรูปของมลพิษทางอากาศ น้ำเสีย มลพิษในดิน และของเสียอันตรายอื่น ๆ ปัญหาดังกล่าวทวีความรุนแรงขึ้นและส่งผลกระทบทั้งทางตรงและทางอ้อมต่อสุขภาพ สังคม เศรษฐกิจ และความมั่นคง จึงควรมีกฎหมายเพื่อให้ภาครัฐมีฐานข้อมูลสารมลพิษที่ครอบคลุมและเป็นระบบ เพื่อขจัดปัญหาและวางแผนการป้องกันได้อย่างมีประสิทธิภาพ,510,45273,NORMAL_BILL,41/2566,"[""สิ่งแวดล้อม""]",MERGE,,9210c1ac-07aa-49b7-b55c-aa2ab57043e3,,29/9/2025 23:40,24/10/2025 18:50,สภาผู้แทนราษฎร ชุดที่ 26,bd38fc49-8153-4905-bd6a-eddcf8b43d7f,นางสาว กมนทรรศน์ กิตติสุนทรสกุล,bd38fc49-8153-4905-bd6a-eddcf8b43d7f,ประชาชน,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายค้าน,พรรคการเมือง
5353a187-5178-483d-8a74-f9706a70dc4d,ร่างพระราชบัญญัติตำรวจแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,,47,43861,NORMAL_BILL,9/2563,,REJECT,,,fe2b30c0-a195-41c3-8ebd-f629a3da91aa,26/9/2025 15:18,24/10/2025 18:46,สภาผู้แทนราษฎร ชุดที่ 25,e8b89aee-39e3-46ce-ab8b-243837f7aa63,นาย วิรัช พันธุมะผล,e8b89aee-39e3-46ce-ab8b-243837f7aa63,ภูมิใจไทย,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายรัฐบาล,พรรคการเมือง
fb2a5fd5-0a3d-4668-adc2-a777520835e3,พระราชบัญญัติจราจรทางบก (ฉบับที่ ..) พ.ศ. ....,"ร่าง พ.ร.บ. จราจรทางบก มีสาระสำคัญคือ เพิ่มอัตราโทษสำหรับผู้ขับขี่ที่กระทำผิดซ้ำข้อหาเมาแล้วขับ โดยให้จำคุกไม่เกิน 2 ปี และปรับ 50,000-100,000 บาท และยังเพิ่มอัตราโทษสำหรับการขับรถเร็วเกินกำหนด ขับรถฝ่าฝืนสัญญาณไฟแดง ไม่หยุดรถให้คนข้ามทางม้าลาย ปรับไม่เกิน 4,000 บาท หากขับรถย้อนศร ไม่สวมหมวกนิรภัย ไม่รัดเข็มขัดนิรภัย จะปรับไม่เกิน 2,000 บาท และเพิ่มโทษผู้ขับขี่ที่ขับรถโดยไม่คำนึงถึงความปลอดภัยในชีวิตหรือร่างกายของผู้อื่น เป็นจำคุกไม่เกิน 1 ปี ปรับตั้งแต่ 5,000 – 20,000 บาท หรือทั้งจำทั้งปรับ
อีกทั้ง ยังมีการกำหนดความผิดเกี่ยวกับการแข่งรถ โดยกำหนดให้การรวมกลุ่มหรือมั่วสุมในทางหรือสาธารณสถานใกล้ทาง พร้อมด้วยรถตั้งแต่ 5 คันขึ้นไป ในลักษณะนัดหมายเพื่อแข่งรถ รวมกลุ่มโดยมีการดัดแปลงหรือปรับแต่งรถ หรือ มีพฤติการณ์อย่างหนึ่งอย่างใดอันแสดงให้เห็นว่าจะทำการแข่งรถ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง (การแข่งรถในทาง ระวางโทษจำคุกไม่เกิน 3 เดือน หรือปรับตั้งแต่ 5,000-10,000 บาท หรือทั้งจำทั้งปรับ) ส่วนผู้จัดแข่งรถ มีการกำหนดโสำหรับผู้โฆษณา ประกาศ ชักชวน ให้มีการแข่งรถ โดยมีอัตราโทษเป็นจำคุกไม่เกิน 6 เดือน หรือปรับตั้งแต่ 10,000-20,000 บาท หรือทั้งจำทั้งปรับ ส่วนร้านรับแต่งรถ หากมีรถที่ถูกนำไปใช้แข่งรถ ต้องรับโทษในฐานะผู้สนับสนุน คือ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง ส่วนประเด็นสุดท้ายคือ การกำหนดเรื่องการรัดเข็มขัดนิรภัย โดยรถที่ติดตั้งเข็มขัดนิรภัยได้ ผู้ขับขี่และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยทุกที่นั่ง ส่วนรถกระบะ ผู้ขับขี่ และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยในที่นั่งตอนหน้า ส่วนกรณีเป็นรถกระบะสองตอนผู้โดยสารตอนหลัง ต้องรัดเข็มขัดนิรภัย ด้วย หากฝ่าฝืนไม่รัดเข็มขัด ต้องระวางโทษปรับไม่เกิน 2,000 บาท",96,44229,NORMAL_BILL,11/2564,"[""คมนาคม"",""ยุติธรรม""]",ENFORCE,760ecbd7-120e-4d27-9b1d-ea2669809285,c7e8679a-36a2-4bf7-a6a7-5b47085ba40a,,26/9/2025 15:19,24/10/2025 18:49,สภาผู้แทนราษฎร ชุดที่ 25,,คณะรัฐมนตรี คณะที่ 62  ,,เพื่อไทย,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),,คณะรัฐมนตรี
fb2a5fd5-0a3d-4668-adc2-a777520835e3,พระราชบัญญัติจราจรทางบก (ฉบับที่ ..) พ.ศ. ....,"ร่าง พ.ร.บ. จราจรทางบก มีสาระสำคัญคือ เพิ่มอัตราโทษสำหรับผู้ขับขี่ที่กระทำผิดซ้ำข้อหาเมาแล้วขับ โดยให้จำคุกไม่เกิน 2 ปี และปรับ 50,000-100,000 บาท และยังเพิ่มอัตราโทษสำหรับการขับรถเร็วเกินกำหนด ขับรถฝ่าฝืนสัญญาณไฟแดง ไม่หยุดรถให้คนข้ามทางม้าลาย ปรับไม่เกิน 4,000 บาท หากขับรถย้อนศร ไม่สวมหมวกนิรภัย ไม่รัดเข็มขัดนิรภัย จะปรับไม่เกิน 2,000 บาท และเพิ่มโทษผู้ขับขี่ที่ขับรถโดยไม่คำนึงถึงความปลอดภัยในชีวิตหรือร่างกายของผู้อื่น เป็นจำคุกไม่เกิน 1 ปี ปรับตั้งแต่ 5,000 – 20,000 บาท หรือทั้งจำทั้งปรับ
อีกทั้ง ยังมีการกำหนดความผิดเกี่ยวกับการแข่งรถ โดยกำหนดให้การรวมกลุ่มหรือมั่วสุมในทางหรือสาธารณสถานใกล้ทาง พร้อมด้วยรถตั้งแต่ 5 คันขึ้นไป ในลักษณะนัดหมายเพื่อแข่งรถ รวมกลุ่มโดยมีการดัดแปลงหรือปรับแต่งรถ หรือ มีพฤติการณ์อย่างหนึ่งอย่างใดอันแสดงให้เห็นว่าจะทำการแข่งรถ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง (การแข่งรถในทาง ระวางโทษจำคุกไม่เกิน 3 เดือน หรือปรับตั้งแต่ 5,000-10,000 บาท หรือทั้งจำทั้งปรับ) ส่วนผู้จัดแข่งรถ มีการกำหนดโสำหรับผู้โฆษณา ประกาศ ชักชวน ให้มีการแข่งรถ โดยมีอัตราโทษเป็นจำคุกไม่เกิน 6 เดือน หรือปรับตั้งแต่ 10,000-20,000 บาท หรือทั้งจำทั้งปรับ ส่วนร้านรับแต่งรถ หากมีรถที่ถูกนำไปใช้แข่งรถ ต้องรับโทษในฐานะผู้สนับสนุน คือ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง ส่วนประเด็นสุดท้ายคือ การกำหนดเรื่องการรัดเข็มขัดนิรภัย โดยรถที่ติดตั้งเข็มขัดนิรภัยได้ ผู้ขับขี่และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยทุกที่นั่ง ส่วนรถกระบะ ผู้ขับขี่ และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยในที่นั่งตอนหน้า ส่วนกรณีเป็นรถกระบะสองตอนผู้โดยสารตอนหลัง ต้องรัดเข็มขัดนิรภัย ด้วย หากฝ่าฝืนไม่รัดเข็มขัด ต้องระวางโทษปรับไม่เกิน 2,000 บาท",96,44229,NORMAL_BILL,11/2564,"[""คมนาคม"",""ยุติธรรม""]",ENFORCE,760ecbd7-120e-4d27-9b1d-ea2669809285,9dca2751-2965-4074-9e3b-1ef2d07e4da4,,26/9/2025 15:19,24/10/2025 18:49,สภาผู้แทนราษฎร ชุดที่ 25,,คณะรัฐมนตรี คณะที่ 62  ,,เพื่อไทย,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),,คณะรัฐมนตรี
fb2a5fd5-0a3d-4668-adc2-a777520835e3,พระราชบัญญัติจราจรทางบก (ฉบับที่ ..) พ.ศ. ....,"ร่าง พ.ร.บ. จราจรทางบก มีสาระสำคัญคือ เพิ่มอัตราโทษสำหรับผู้ขับขี่ที่กระทำผิดซ้ำข้อหาเมาแล้วขับ โดยให้จำคุกไม่เกิน 2 ปี และปรับ 50,000-100,000 บาท และยังเพิ่มอัตราโทษสำหรับการขับรถเร็วเกินกำหนด ขับรถฝ่าฝืนสัญญาณไฟแดง ไม่หยุดรถให้คนข้ามทางม้าลาย ปรับไม่เกิน 4,000 บาท หากขับรถย้อนศร ไม่สวมหมวกนิรภัย ไม่รัดเข็มขัดนิรภัย จะปรับไม่เกิน 2,000 บาท และเพิ่มโทษผู้ขับขี่ที่ขับรถโดยไม่คำนึงถึงความปลอดภัยในชีวิตหรือร่างกายของผู้อื่น เป็นจำคุกไม่เกิน 1 ปี ปรับตั้งแต่ 5,000 – 20,000 บาท หรือทั้งจำทั้งปรับ
อีกทั้ง ยังมีการกำหนดความผิดเกี่ยวกับการแข่งรถ โดยกำหนดให้การรวมกลุ่มหรือมั่วสุมในทางหรือสาธารณสถานใกล้ทาง พร้อมด้วยรถตั้งแต่ 5 คันขึ้นไป ในลักษณะนัดหมายเพื่อแข่งรถ รวมกลุ่มโดยมีการดัดแปลงหรือปรับแต่งรถ หรือ มีพฤติการณ์อย่างหนึ่งอย่างใดอันแสดงให้เห็นว่าจะทำการแข่งรถ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง (การแข่งรถในทาง ระวางโทษจำคุกไม่เกิน 3 เดือน หรือปรับตั้งแต่ 5,000-10,000 บาท หรือทั้งจำทั้งปรับ) ส่วนผู้จัดแข่งรถ มีการกำหนดโสำหรับผู้โฆษณา ประกาศ ชักชวน ให้มีการแข่งรถ โดยมีอัตราโทษเป็นจำคุกไม่เกิน 6 เดือน หรือปรับตั้งแต่ 10,000-20,000 บาท หรือทั้งจำทั้งปรับ ส่วนร้านรับแต่งรถ หากมีรถที่ถูกนำไปใช้แข่งรถ ต้องรับโทษในฐานะผู้สนับสนุน คือ ต้องระวางโทษ 2 ใน 3 ของความผิดฐานแข่งรถในทาง ส่วนประเด็นสุดท้ายคือ การกำหนดเรื่องการรัดเข็มขัดนิรภัย โดยรถที่ติดตั้งเข็มขัดนิรภัยได้ ผู้ขับขี่และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยทุกที่นั่ง ส่วนรถกระบะ ผู้ขับขี่ และผู้โดยสาร ต้องรัดเข็มขัดนิรภัยในที่นั่งตอนหน้า ส่วนกรณีเป็นรถกระบะสองตอนผู้โดยสารตอนหลัง ต้องรัดเข็มขัดนิรภัย ด้วย หากฝ่าฝืนไม่รัดเข็มขัด ต้องระวางโทษปรับไม่เกิน 2,000 บาท",96,44229,NORMAL_BILL,11/2564,"[""คมนาคม"",""ยุติธรรม""]",ENFORCE,760ecbd7-120e-4d27-9b1d-ea2669809285,28715469-026c-4012-be65-07c6a88feff8,,26/9/2025 15:19,24/10/2025 18:49,สภาผู้แทนราษฎร ชุดที่ 25,,คณะรัฐมนตรี คณะที่ 62  ,,เพื่อไทย,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),,คณะรัฐมนตรี
5125a23e-06cd-4f12-b1f1-111b28ad636f,ร่างพระราชบัญญัติคณะกรรมการการออมเพื่อการเกษียณแห่งชาติ พ.ศ. ....,"โดยที่ปัจจุบันระบบบำเหน็จบำนาญทั้งภาครัฐและเอกชนของไทยอยู่ภายใต้การกำกับดูแลของหลายหน่วยงาน ทำให้มีข้อจำกัดในการกำหนดนโยบายและกำกับดูแลหลายด้าน
จึงควรให้มีคณะกรรมการการออมเพื่อการเกษียณแห่งชาติเพื่อเป็นองค์กรกลางในการบริหารจัดการระบบบำเหน็จบำนาญให้มีเอกภาพ โดยให้มีอกนาจกำกับดูแล กำหนดนโยบาย
และแผนงานเกี่ยวกับการออมเพื่อการเกษียณของประชาชน",42,43866,NORMAL_BILL,9/2563,"[""สวัสดิการสังคม"",""เศรษฐกิจ""]",REJECT,,,4536df46-4137-4da1-901c-448043552d37,26/9/2025 15:18,24/10/2025 18:46,สภาผู้แทนราษฎร ชุดที่ 25,51a83c3f-fe16-4dcc-9bd0-f94213d15d6b,ดร. พิสิฐ ลี้อาธรรม,51a83c3f-fe16-4dcc-9bd0-f94213d15d6b,ประชาธิปัตย์,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายรัฐบาล,พรรคการเมือง
fc905eda-566b-490a-8ca1-33d9776470c4,ร่างพระราชบัญญัติระเบียบบริหารราชการกรุงเทพมหานคร (ฉบับที่ ..) พ.ศ. ....,"แก้ไขเพิ่มเติมพระราชบัญญัติระเบียบบริหารราชการกรุงเทพมหานคร พ.ศ. ๒๕๒๘ เพื่อแก้ไขเพิ่มเติมเรื่องสภาเขต คุณสมบัติและลักษณะต้องห้ามของผู้มีสิทธิเลือกตั้งและผู้สมัครรับเลือกตั้ง
เป็นสมาชิกสภาเขต วาระการดำรงตำแหน่ง การจ่ายค่าตอบแทน อำนาจหน้าที่ของสภาเขตและการพ้นจากตำแหน่ง",70,43738,NORMAL_BILL,9/2562,"[""บริหารราชการ""]",REJECT,,,55e13dec-5870-46b8-8159-6ee6f01e453f,26/9/2025 15:19,24/10/2025 18:46,สภาผู้แทนราษฎร ชุดที่ 25,4caf1b07-a18d-4d49-8674-83a5fe7afea6,นาย องอาจ คล้ามไพบูลย์,4caf1b07-a18d-4d49-8674-83a5fe7afea6,ประชาธิปัตย์,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายรัฐบาล,พรรคการเมือง
b2816da9-08ad-45a7-b1b9-8d730ab0a98d,ร่างพระราชบัญญัติกองทุนเงินให้กู้ยืมเพื่อการศึกษา พ.ศ. ๒๕๖๐ (ฉบับที่ ..) พ.ศ. ....,"หลักการ : แก้ไขเพิ่มเติมพระราชบัญญัติกองทุนเงินให้กู้ยืมเพื่อการศึกษา พ.ศ. ๒๕๖๐
เหตุผล : กองทุนเงินให้กู้ยืมเพื่อการศึกษาเป็นการให้บริการสาธารณะทางการศึกษาแก่ประชาชน
เพื่อให้นักเรียนนักศึกษาเข้าถึงแหล่งเงินกู้จากกองทุนเงินให้กู้ยืมอย่างเท่าเทียม และลดภาระการชำระหนี้ด้วยการปรับโครงสร้างหนี้",43,43721,NORMAL_BILL,9/2562,"[""การศึกษา"",""สวัสดิการสังคม""]",PENDING,,,,26/9/2025 15:19,24/10/2025 18:46,สภาผู้แทนราษฎร ชุดที่ 25,4cc8dfaf-e5ce-41f4-94d3-53bf858308b4,นาย อนุทิน ชาญวีรกูล,4cc8dfaf-e5ce-41f4-94d3-53bf858308b4,ภูมิใจไทย,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายรัฐบาล,พรรคการเมือง
d25570e9-0aa0-40b1-bc9d-f1b3cc7228f5,ร่างหลัก,,664,45922,NORMAL_BILL,37092/2568,,REJECT,,f7baa8fb-aff7-4eb8-9e55-f55606026b09,79449398-25ed-453f-bad9-9d39e2dbf53d,29/9/2025 23:40,24/10/2025 18:51,สภาผู้แทนราษฎร ชุดที่ 26,,  ,,เพื่อไทย,นายกรัฐมนตรี ครม. คณะที่ 65 (อนุทิน ชาญวีรกูล),,
ae1bbea1-41af-4197-b31e-df91d8dc7c35,ร่างพระราชบัญญัติองค์การสงเคราะห์ทหารผ่านศึก (ฉบับที่ ..) พ.ศ. ....,แก้ไขเพิ่มเติมพระราชบัญญัติองค์การสงเคราะห์ทหารผ่านศึก พ.ศ. 2510 เพื่อกำหนดให้ทหารผ่านศึกนอกประจำการ บัตรชั้นที่ 2 บัตรชั้นที่3 และบัตรชั้นที่ 4 มีสิทธิได้รับเงินสงเคราะห์เลี้ยงชีพรายเดือน เงินช่วยเหลือเป็นค่าครองชีพพิเศษ เงินช่วยค่าครองชีพเพื่อผดุงเกียรติเป็นรายเดือน รวมถึงสิทธิประโยชน์อื่นใด (แก้ไขเพิ่มเติม มาตรา 11),346,44923,NORMAL_BILL,89/2565,"[""สวัสดิการสังคม""]",REJECT,,,aecb4f3c-1102-4a57-855d-cb642b8a40ce,26/9/2025 15:19,24/10/2025 18:46,สภาผู้แทนราษฎร ชุดที่ 25,48123f0e-bdc9-4688-976c-945dbd4c2bfb,ดร. มงคลกิตติ์ สุขสินธารานนท์,48123f0e-bdc9-4688-976c-945dbd4c2bfb,ไทยศรีวิไลย์,นายกรัฐมนตรี ครม. คณะที่ 62 (ประยุทธ์ จันทร์โอชา),พรรคฝ่ายรัฐบาล,พรรคการเมือง
